_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
6404a9045027fd0b05152a60||34.94|87.37|38.5|56.25|157,3,0,1|quote|321|1|0|53.92|0|0|false|false|english|none|normal|false|false|false||1678027012000
6404a8805027fd0b051525fa||53.17|94.87|53.17|63.84|74,0,0,0|quote|5231|0|0|16.7|0|0|false|false|english|none|normal|false|false|false||1678026880000
6404a85a5027fd0b051524be||67.72|93.1|78.56|70.34|25,1,0,0|quote|5398|0|0|4.43|0|0|false|false|english|none|normal|false|false|false||1678026842000
6404a8545027fd0b05152487||33.47|83.87|48.54|56.4|20,3,0,0|quote|5398|0|0|7.17|0|0|false|false|english|none|normal|false|false|false||1678026836000
6404a8205027fd0b051522ca||43.45|84.52|49.47|66.01|65,3,0,2|quote|16|0|0|17.95|0|0|false|false|english|none|normal|false|false|false||1678026784000
6404a80b5027fd0b051521fb||43.86|88.89|54.99|62.6|67,3,0,2|quote|5694|0|0|18.33|0|0|false|false|english|none|normal|false|false|false||1678026763000
6404a7ef5027fd0b0515211a||27.56|83.13|36.75|61.8|54,3,0,1|quote|6477|0|0|23.51|0|0|false|false|english|none|normal|false|false|false||1678026735000
6404a7bd5027fd0b05151f69||26.43|79.75|46.92|47.08|40,5,2,1|quote|6652|0|0|18.16|0|0|false|false|english|none|normal|false|false|false||1678026685000
6404a76b5027fd0b05151ca4||36.52|84.75|36.52|54.64|49,0,0,0|quote|5668|0|0|16.1|0|0|false|false|english|none|normal|false|false|false||1678026603000
6404a75a5027fd0b051242f2||32.42|77.91|32.42|50.71|65,0,0,0|quote|23|0|0|24.06|0|0|false|false|english|none|normal|false|false|false||1678026586000
6404a73a5027fd0b050f67b0||31.71|80.21|39.39|62.51|62,1,0,3|quote|5085|0|0|23.46|0|0|false|false|english|none|normal|false|false|false||1678026554000
6404a71e5027fd0b050f66ce||45.05|85.53|48.74|54.59|61,1,0,0|quote|5173|0|0|16.25|0|0|false|false|english|none|normal|false|false|false||1678026526000
6404a7085027fd0b050f660d||31.03|81.71|34.48|42.73|63,3,1,1|quote|5093|0|0|24.36|0|0|false|false|english|none|normal|false|false|false||1678026504000
6404a6eb5027fd0b050f651c||37.09|80.77|55.63|63.66|48,5,0,2|quote|5742|0|0|15.53|0|0|false|false|english|none|normal|false|false|false||1678026475000
6404a26d5027fd0b05098c1f||42.12|88.64|46.27|59.27|71,0,0,2|quote|3780|0|0|20.23|0|0|false|false|english|none|normal|false|false|false||1678025325000
6404a2525027fd0b05098b5c||33.32|78.38|33.32|39.94|56,0,0,0|quote|1621|0|0|20.17|0|0|false|false|english|none|normal|false|false|false||1678025298000
6404a23a5027fd0b05098a98||55.62|93.18|55.62|62.68|82,0,0,0|quote|59|0|0|17.69|0|0|false|false|english|none|normal|false|false|false||1678025274000
6404a2245027fd0b050989ed||27.05|77.68|37.24|51.7|69,5,1,2|quote|1220|0|0|30.61|0|0|false|false|english|none|normal|false|false|false||1678025252000
6404a2015027fd0b050988c9||47.73|93.18|49.57|51.14|78,0,0,1|quote|59|0|0|19.61|0|0|false|false|english|none|normal|false|false|false||1678025217000
64049c395027fd0b05fdf2a6||39.71|83.19|41.45|58.55|91,0,0,1|quote|1080|0|0|27.5|0|0|false|false|english|none|normal|false|false|false||1678023737000
64049c145027fd0b05fdf180||49.93|93.62|49.93|64.56|86,0,0,0|quote|5694|0|0|20.67|0|0|false|false|english|none|normal|false|false|false||1678023700000
64049bbe5027fd0b05fdee78||64.2|97.18|64.2|76.24|68,0,0,0|quote|6208|0|0|12.71|0|0|false|false|english|none|normal|false|false|false||1678023614000
64049bab5027fd0b05fdedd3||32.82|79|43.59|66.82|67,6,0,3|quote|602|0|0|24.5|0|0|false|false|english|none|normal|false|false|false||1678023595000
64049b5b5027fd0b05fdeb04||62.54|97.56|62.54|58.71|80,0,0,0|quote|5085|0|0|15.35|0|0|false|false|english|none|normal|false|false|false||1678023515000
64049b445027fd0b05fdea3b||33.01|84.72|35.91|51.48|57,1,0,0|quote|6749|0|0|20.72|0|0|false|false|english|none|normal|false|false|false||1678023492000
64049b2b5027fd0b05fde956||44.32|92.86|44.32|52.28|78,0,0,0|quote|6579|0|0|21.12|0|0|false|false|english|none|normal|false|false|false||1678023467000
64049af75027fd0b05fde78b||44.06|90.91|55.81|59.87|60,3,0,1|quote|5283|0|0|16.34|0|0|false|false|english|none|normal|false|false|false||1678023415000
640370925027fd0b0511f74c||40.96|84.38|40.96|63.93|80,0,0,0|quote|3780|0|0|23.44|0|0|false|false|english|none|normal|false|false|false||1677947026000
640370385027fd0b0511f450||36.63|90|36.63|43.98|70,0,0,0|quote|5093|0|0|22.93|0|0|false|false|english|none|normal|false|false|false||1677946936000
64036ff25027fd0b0511f1f3||38.4|87.04|45.52|59.58|81,4,0,2|quote|6698|0|0|25.31|0|0|false|false|english|none|normal|false|false|false||1677946866000
64036fd25027fd0b0511f0dd||28.56|77.42|33.63|47.54|62,4,0,0|quote|6477|0|0|26.05|0|0|false|false|english|none|normal|false|false|false||1677946834000
64036f815027fd0b0511ee3b||32.69|84.3|34.18|50.01|88,1,0,0|quote|602|0|0|32.3|0|0|false|false|english|none|normal|false|false|false||1677946753000
64036f425027fd0b0511ec47||49.54|93.81|49.54|65.6|90,0,0,0|quote|6680|0|0|21.8|0|0|false|false|english|none|normal|false|false|false||1677946690000
64036f275027fd0b0511eb81||40.87|80|49.18|62.29|64,4,3,0|quote|5742|0|0|18.79|0|0|false|false|english|none|normal|false|false|false||1677946663000
64036ed35027fd0b0511e8b8||57.36|93.33|66.46|67.98|63,2,0,1|quote|5742|0|0|13.18|0|0|false|false|english|none|normal|false|false|false||1677946579000
64036d6c5027fd0b050c2bf0||32.21|79.17|36.63|63.76|51,3,0,0|quote|3264|0|0|19|1|0|false|false|english|none|normal|false|false|false||1677946220000
64036d4e5027fd0b050c2afd||47.59|91.01|51.4|60.64|75,1,0,0|quote|119|0|0|18.91|0|0|false|false|english|none|normal|false|false|false||1677946190000
64036d375027fd0b050c2a55||30.13|84.62|43.05|50.95|56,2,0,1|quote|119|0|0|22.3|0|0|false|false|english|none|normal|false|false|false||1677946167000
64036c865027fd0b050c24d0||47.39|92.21|47.39|62.8|68,0,0,0|quote|6208|0|0|17.22|0|0|false|false|english|none|normal|false|false|false||1677945990000
64036c6b5027fd0b050c23ea||34.82|82.41|34.82|54.02|88,0,0,0|quote|622|0|0|30.33|0|0|false|false|english|none|normal|false|false|false||1677945963000
64036bb45027fd0b050c1e76||46.52|93.67|46.52|64.68|74,0,0,0|quote|4506|0|0|19.09|0|0|false|false|english|none|normal|false|false|false||1677945780000
64036b885027fd0b050c1d00||25.99|83.96|29.8|43.8|75,1,0,2|quote|5447|0|0|34.63|1|0|false|false|english|none|normal|false|false|false||1677945736000
64036b025027fd0b050c18eb||28.75|79.75|31.36|45.34|55,2,0,0|quote|12|0|0|22.96|0|0|false|false|english|none|normal|false|false|false||1677945602000
64036ae55027fd0b05066665||33.05|77.33|33.05|40.74|56,0,0,0|quote|1621|0|0|20.33|0|0|false|false|english|none|normal|false|false|false||1677945573000
64036acc5027fd0b0506659b||46.03|92.31|48.69|63.93|69,1,0,0|quote|6427|0|0|17.99|0|0|false|false|english|none|normal|false|false|false||1677945548000
64036ab65027fd0b050664ee||51.06|90.43|51.06|69.58|84,0,0,0|quote|1115|0|0|19.74|0|0|false|false|english|none|normal|false|false|false||1677945526000
64036a415027fd0b0506614a||47.87|90.48|50.53|49.11|72,1,0,0|quote|16|0|0|18.05|0|0|false|false|english|none|normal|false|false|false||1677945409000
64036a2c5027fd0b05066093||36.73|81.58|46.26|57.14|54,5,0,2|quote|6652|0|0|17.64|0|0|false|false|english|none|normal|false|false|false||1677945388000
640369d55027fd0b05065db9||34.44|75|41.85|53.08|65,1,0,3|quote|59|0|0|22.65|0|0|false|false|english|none|normal|false|false|false||1677945301000
640369b95027fd0b05065ce7||75.65|96.67|75.65|84.66|29,0,0,0|quote|5398|0|0|4.6|0|0|false|false|english|none|normal|false|false|false||1677945273000
64035fce5027fd0b05f4f878||70.59|93.1|78.73|70.34|26,1,0,0|quote|5398|0|0|4.42|0|0|false|false|english|none|normal|false|false|false||1677942734000
64035fc75027fd0b05f4f83d||28.9|82.35|37.7|54.64|23,1,1,0|quote|5398|0|0|9.55|0|0|false|false|english|none|normal|false|false|false||1677942727000
64035fbb5027fd0b05f4f7d1||42.19|90.38|46.02|56.19|88,1,0,0|quote|1220|0|0|25.03|0|0|false|false|english|none|normal|false|false|false||1677942715000
64035f9b5027fd0b05f4f6cf||55.72|95.45|55.72|61.72|82,0,0,0|quote|59|0|0|17.66|0|0|false|false|english|none|normal|false|false|false||1677942683000
64035e225027fd0b05f4eb50||43.57|88.79|47.58|60.65|87,1,0,1|quote|1080|0|0|23.96|0|0|false|false|english|none|normal|false|false|false||1677942306000
640357105027fd0b05e94c56||43.28|89.66|48.69|57.38|48,1,0,2|quote|5257|0|0|13.31|0|0|false|false|english|none|normal|false|false|false||1677940496000
640356715027fd0b05e94753||41.74|90|41.74|46.07|68,0,0,0|quote|1464|0|0|19.55|0|0|false|false|english|none|normal|false|false|false||1677940337000
6403565b5027fd0b05e9469d||33.25|84.91|46.56|72.67|35,2,0,0|quote|5668|0|0|12.63|0|0|false|false|english|none|normal|false|false|false||1677940315000
6403561e5027fd0b05e944ec||43.04|91.67|44.35|50.49|66,1,0,0|quote|5404|0|0|18.4|0|0|false|false|english|none|normal|false|false|false||1677940254000
640356045027fd0b05e9442c||48.76|90.91|48.76|52.59|80,0,0,0|quote|5085|0|0|19.69|0|0|false|false|english|none|normal|false|false|false||1677940228000
